Ordem;NroProcessoPI;Titular;CNPJ-Titular;CNPJ(ID Alternativo);IFES titular;Qtde de empregados;Natureza do Titular;Tipo do Titular;Tamanho do Titular;Esfera;Região;Seção;Descr.Seção;Divisão;Descr.Divisão;Ano requerimento;Ano 1º TT
63;BR1020210135891;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2021;Não TT
64;PI09045155;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2009;Não TT
65;PI10020284;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2010;Não TT
66;PI11073039;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2011;Não TT
67;BR1020120331292;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2012;Não TT
68;BR1020130129348;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2013;Não TT
69;BR1020140308636;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2014;Não TT
70;BR1020160267153;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2016;Não TT
71;BR1020170127532;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2017;Não TT
72;BR1020180733460;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2018;Não TT
